INGREDIENT:0.7:ml:test1
INGREDIENT:6.0:dollop:test02
INGREDIENT:6.0:teaspoon:paprika
INGREDIENT:1.0::beef stock cube
INGREDIENT:1.0:serving:long grain rice
INGREDIENT:400.0:gram:chopped tomotoes
INGREDIENT:1.0:teaspoon:sugar
INGREDIENT:500.0:gram:minced beef
INGREDIENT:1.0:dollop:sour cream
INGREDIENT:1.0:teaspoon:ground cumin
INGREDIENT:1.0:teaspoon:dried marjoram
INGREDIENT:1.0::red pepper
INGREDIENT:1.0::onion
INGREDIENT:410.0:gram:kidney beans
INGREDIENT:1.0:tablespoon:chilli powder
INGREDIENT:1.0:tablespoon:oil
INGREDIENT:2.0:clove:garlic clove
INGREDIENT:2.0:tablespoon:tomato purée
